stop_id,stop_code,stop_name,stop_lat,stop_long
665,CTA2231,Mairie de St Sylvain,,
666,CTA1166,Maréchal Leclerc,,
667,CTA133,Mercier,,
668,CTA2445,Millardière,,
670,CTA1169,Parc des Expositions,,
671,CTA2210,Petit Mongazon,,
672,CTA1173,Singerie,,
673,CTA1168,St Sylvain,,
674,CTA2313,Union,,
675,CTA1668,Victor Hugo,,
676,CTA127,Bédaudière,,
677,CTA2312,Cimetière de Sarrigné,,
678,CTA2325,Les Plantes,,
680,CTA126,Mairie de Sarrigné,,
681,CTA2308,Champboureau,,
682,CTA1224,Epiré,,
683,CTA2306,Les Forges,,
684,CTA1223,Roche aux Moines,,
685,CTA1222,Savennières,,
686,CTA2304,L'Hermitage,,
687,CTA2302,La Bodinière,,
688,CTA1159,Les Nonnains,,
689,CTA115,Mairie de Soucelles,,
690,CTA2303,Roche Foulques,,
691,CTA2269,Baluères,,
692,CTA2424,Basse Marzelle,,
693,CTA2362,Bourg de Soulaines,,
696,CTA2249,Ecotière,,
697,CTA2261,Grolliere,,
698,CTA2251,Haute Marzelle,,
699,CTA2283,Le Houx,,
700,CTA2273,Le Tertre Soulaines,,
704,CTA2483,Bourg,,
705,CTA2484,Champdollant,,
712,CTA2493,Petite Souzelle,,
713,CTA2485,Soulaire,,
714,CTA1242,Allumettes,,
715,CTA2379,Bahonneau,,
716,CTA1271,Beaumanoir,,
717,CTA2290,Bellevue,,
718,CTA1295,Bourse,,
719,CTA2075,Buisson,,
720,CTA1337,Chouteau,,
721,CTA1758,Clarté,,
722,CTA2291,Dautel,,
723,CTA2228,De Gaulle,,
724,CTA1364,Dojo Daguerre,,
725,CTA1410,Fresnaies,,
726,CTA2293,Gaspalon,,
727,CTA2271,Gentric,,
728,CTA2490,Huit Mai Trélazé,,
729,CTA2292,La Fauvelais,,
731,CTA1486,Lavoir,,
732,CTA2199,Lefèvre,,
734,CTA1493,Léo Lagrange,,
735,CTA1517,Mairie de Trélazé,,
736,CTA2074,Malaquais,,
737,CTA1761,Malembardières ZI Trélazé,,
738,CTA1526,Ménard,,
739,CTA1679,Pyramide,,
740,CTA2209,Riotteau,,
741,CTA1603,Route n°4,,
